lat,lng
66.5,-141.875
66.5,-141.25
66.5,-140.625
66.5,-140
67,-180
67,-179.375
67,-178.75
67,-178.125
67,-177.5
67,-176.875
67,-176.25
67,-175.625
67,-175
67,-173.75
67,-173.125
67,-161.25
67,-160.625
67,-160
67,-159.375
67,-158.75
67,-158.125
67,-157.5
67,-156.875
67,-156.25
67,-155.625
67,-155
67,-154.375
67,-153.75
67,-153.125
67,-152.5
67,-151.875
67,-151.25
67,-150.625
67,-150
67,-149.375
67,-148.75
67,-148.125
67,-147.5
67,-146.875
67,-146.25
67,-145.625
67,-145
67,-144.375
67,-143.75
67,-143.125
67,-142.5
67,-141.875
67,-141.25
67,-140.625
67,-140
67.5,-180
67.5,-179.375
67.5,-178.75
67.5,-178.125
67.5,-177.5
67.5,-176.875
67.5,-176.25
67.5,-175.625
67.5,-163.75
67.5,-163.125
67.5,-162.5
67.5,-161.875
67.5,-161.25
67.5,-160.625
67.5,-160
67.5,-159.375
67.5,-158.75
67.5,-158.125
67.5,-157.5
67.5,-156.875
67.5,-156.25
67.5,-155.625
67.5,-155
67.5,-154.375
67.5,-153.75
67.5,-153.125
67.5,-152.5
67.5,-151.875
67.5,-151.25
67.5,-150.625
67.5,-150
67.5,-149.375
67.5,-148.75
67.5,-148.125
67.5,-147.5
67.5,-146.875
67.5,-146.25
67.5,-145.625
67.5,-145
67.5,-144.375
67.5,-143.75
67.5,-143.125
67.5,-142.5
67.5,-141.875
67.5,-141.25
67.5,-140.625
67.5,-140
68,-180
68,-179.375
68,-178.75
68,-178.125
68,-177.5
68,-176.875
68,-165
68,-164.375
68,-163.75
68,-163.125
68,-162.5
68,-161.875
68,-161.25
68,-160.625
68,-160
68,-159.375
68,-158.75
68,-158.125
68,-157.5
68,-156.875
68,-156.25
68,-155.625
68,-155
68,-154.375
68,-153.75
68,-153.125
68,-152.5
68,-151.875
68,-151.25
68,-150.625
68,-150
68,-149.375
68,-148.75
68,-148.125
68,-147.5
68,-146.875
68,-146.25
68,-145.625
68,-145
68,-144.375
68,-143.75
68,-143.125
68,-142.5
68,-141.875
68,-141.25
68,-140.625
68,-140
68.5,-180
68.5,-179.375
68.5,-178.75
68.5,-166.25
68.5,-165.625
68.5,-165
68.5,-164.375
68.5,-163.75
68.5,-163.125
68.5,-162.5
68.5,-161.875
68.5,-161.25
68.5,-160.625
68.5,-160
68.5,-159.375
68.5,-158.75
68.5,-158.125
68.5,-157.5
68.5,-156.875
68.5,-156.25
68.5,-155.625
68.5,-155
68.5,-154.375
68.5,-153.75
68.5,-153.125
68.5,-152.5
68.5,-151.875
68.5,-151.25
68.5,-150.625
68.5,-150
68.5,-149.375
68.5,-148.75
68.5,-148.125
68.5,-147.5
68.5,-146.875
68.5,-146.25
68.5,-145.625
68.5,-145
68.5,-144.375
68.5,-143.75
68.5,-143.125
68.5,-142.5
68.5,-141.875
68.5,-141.25
68.5,-140.625
68.5,-140
69,-163.75
69,-163.125
69,-162.5
69,-161.875
69,-161.25
69,-160.625
69,-160
69,-159.375
69,-158.75
69,-158.125
69,-157.5
69,-156.875
69,-156.25
69,-155.625
69,-155
69,-154.375
69,-153.75
69,-153.125
69,-152.5
69,-151.875
69,-151.25
69,-150.625
69,-150
69,-149.375
69,-148.75
69,-148.125
69,-147.5
69,-146.875
69,-146.25
69,-145.625
69,-145
69,-144.375
69,-143.75
69,-143.125
69,-142.5
69,-141.875
69,-141.25
69,-140.625
69,-140
69.5,-162.5
69.5,-161.875
69.5,-161.25
69.5,-160.625
69.5,-160
69.5,-159.375
69.5,-158.75
69.5,-158.125
69.5,-157.5
69.5,-156.875
69.5,-156.25
69.5,-155.625
69.5,-155
69.5,-154.375
69.5,-153.75
69.5,-153.125
69.5,-152.5
69.5,-151.875
69.5,-151.25
69.5,-150.625
69.5,-150
69.5,-149.375
69.5,-148.75
69.5,-148.125
69.5,-147.5
69.5,-146.875
69.5,-146.25
69.5,-145.625
69.5,-145
69.5,-144.375
69.5,-143.75
69.5,-143.125
69.5,-142.5
69.5,-141.875
69.5,-141.25
69.5,-140.625
69.5,-140
70,-161.875
70,-161.25
70,-160.625
70,-160
70,-159.375
70,-158.75
70,-158.125
70,-157.5
70,-156.875
70,-156.25
70,-155.625
70,-155
70,-154.375
70,-153.75
70,-153.125
70,-152.5
70,-151.875
70,-151.25
70,-150.625
70,-150
70,-149.375
70,-148.75
70,-148.125
70,-147.5
70,-146.875
70,-146.25
70,-145.625
70,-144.375
70,-143.75
70,-143.125
70.5,-159.375
70.5,-158.75
70.5,-158.125
70.5,-157.5
70.5,-156.875
70.5,-156.25
70.5,-155.625
70.5,-155
70.5,-154.375
70.5,-153.75
70.5,-153.125
70.5,-152.5
